,Sample.Name,Plant.Species,Soil.Origin,Compartment
CcCSlf_1_S46,CcCSlf_1_S46,C. fasciculata,Common Soil,Leaf Endosphere
CcCSlf_2_S47,CcCSlf_2_S47,C. fasciculata,Common Soil,Leaf Endosphere
CcCSlf_3_S48,CcCSlf_3_S48,C. fasciculata,Common Soil,Leaf Endosphere
CcCSlf_4_S49,CcCSlf_4_S49,C. fasciculata,Common Soil,Leaf Endosphere
CcCSno_1_S54,CcCSno_1_S54,C. fasciculata,Common Soil,Nodule
CcCSrt_1_S50,CcCSrt_1_S50,C. fasciculata,Common Soil,Root Endosphere
CcCSrt_2_S51,CcCSrt_2_S51,C. fasciculata,Common Soil,Root Endosphere
CcCSrt_3_S52,CcCSrt_3_S52,C. fasciculata,Common Soil,Root Endosphere
CcCSrt_4_S53,CcCSrt_4_S53,C. fasciculata,Common Soil,Root Endosphere
CcNPlf_1_S37,CcNPlf_1_S37,C. fasciculata,Non-PSF Soil,Leaf Endosphere
CcNPlf_2_S38,CcNPlf_2_S38,C. fasciculata,Non-PSF Soil,Leaf Endosphere
CcNPlf_3_S39,CcNPlf_3_S39,C. fasciculata,Non-PSF Soil,Leaf Endosphere
CcNPlf_4_S40,CcNPlf_4_S40,C. fasciculata,Non-PSF Soil,Leaf Endosphere
CcNPno_1_S45,CcNPno_1_S45,C. fasciculata,Non-PSF Soil,Nodule
CcNPrt_1_S41,CcNPrt_1_S41,C. fasciculata,Non-PSF Soil,Root Endosphere
CcNPrt_2_S42,CcNPrt_2_S42,C. fasciculata,Non-PSF Soil,Root Endosphere
CcNPrt_3_S43,CcNPrt_3_S43,C. fasciculata,Non-PSF Soil,Root Endosphere
CcNPrt_4_S44,CcNPrt_4_S44,C. fasciculata,Non-PSF Soil,Root Endosphere
CcRHlf_1_S28,CcRHlf_1_S28,C. fasciculata,Common Soil,Leaf Endosphere
CcRHlf_2_S29,CcRHlf_2_S29,C. fasciculata,PSF Soil,Leaf Endosphere
CcRHlf_3_S30,CcRHlf_3_S30,C. fasciculata,PSF Soil,Leaf Endosphere
CcRHlf_4_S31,CcRHlf_4_S31,C. fasciculata,PSF Soil,Leaf Endosphere
CcRHno_1_S36,CcRHno_1_S36,C. fasciculata,PSF Soil,Nodule
CcRHrt_1_S32,CcRHrt_1_S32,C. fasciculata,PSF Soil,Root Endosphere
