,Sample,Plant,Soil_Treatment,Compartment
3008,3008,S. helvola,PSF Soil,Rhizosphere
3015,3015,S. helvola,PSF Soil,Rhizosphere
3017,3017,S. helvola,PSF Soil,Rhizosphere
3018,3018,S. helvola,PSF Soil,Rhizosphere
3026,3026,S. helvola,Non-PSF Soil,Rhizosphere
3027,3027,S. helvola,Non-PSF Soil,Rhizosphere
3033-1,3033-1,S. helvola,Non-PSF Soil,Rhizosphere
3033-2,3033-2,S. helvola,Non-PSF Soil,Rhizosphere
3041,3041,S. helvola,Common Soil,Rhizosphere
3042,3042,S. helvola,Common Soil,Rhizosphere
3043,3043,S. helvola,Common Soil,Rhizosphere
3044,3044,S. helvola,Common Soil,Rhizosphere
3067-1,3067-1,C. fasciculata,PSF Soil,Rhizosphere
3067-2,3067-2,C. fasciculata,PSF Soil,Rhizosphere
3070-1,3070-1,C. fasciculata,PSF Soil,Rhizosphere
3070-2,3070-2,C. fasciculata,PSF Soil,Rhizosphere
3083-1,3083-1,C. fasciculata,Non-PSF Soil,Rhizosphere
3083-2,3083-2,C. fasciculata,Non-PSF Soil,Rhizosphere
3084,3084,C. fasciculata,Non-PSF Soil,Rhizosphere
3090,3090,C. fasciculata,Common Soil,Rhizosphere
3091,3091,C. fasciculata,Common Soil,Rhizosphere
3099,3099,C. fasciculata,Common Soil,Rhizosphere
3100,3100,C. fasciculata,Common Soil,Rhizosphere
3108,3108,D. canadense,PSF Soil,Rhizosphere
3109,3109,D. canadense,PSF Soil,Rhizosphere
3116,3116,D. canadense,PSF Soil,Rhizosphere
3118,3118,D. canadense,PSF Soil,Rhizosphere
3124,3124,D. canadense,Non-PSF Soil,Rhizosphere
3125,3125,D. canadense,Non-PSF Soil,Rhizosphere
3127,3127,D. canadense,Non-PSF Soil,Rhizosphere
3134,3134,D. canadense,Non-PSF Soil,Rhizosphere
3141,3141,D. canadense,Common Soil,Rhizosphere
3142,3142,D. canadense,Common Soil,Rhizosphere
3150,3150,D. canadense,Common Soil,Rhizosphere
3151,3151,D. canadense,Common Soil,Rhizosphere
3158-1,3158-1,A. bracteata,PSF Soil,Rhizosphere
3158-2,3158-2,A. bracteata,PSF Soil,Rhizosphere
3158-3,3158-3,A. bracteata,PSF Soil,Rhizosphere
3158-4,3158-4,A. bracteata,PSF Soil,Rhizosphere
3160,3160,A. bracteata,Non-PSF Soil,Rhizosphere
3163,3163,A. bracteata,Non-PSF Soil,Rhizosphere
3165-1,3165-1,A. bracteata,Non-PSF Soil,Rhizosphere
3165-2,3165-2,A. bracteata,Non-PSF Soil,Rhizosphere
3170,3170,A. bracteata,Common Soil,Rhizosphere
3171,3171,A. bracteata,Common Soil,Rhizosphere
3172,3172,A. bracteata,Common Soil,Rhizosphere
3174,3174,A. bracteata,Common Soil,Rhizosphere
3175,3175,Lupine,PSF Soil,Rhizosphere
3177,3177,Lupine,PSF Soil,Rhizosphere
3180-1,3180-1,Lupine,PSF Soil,Rhizosphere
3180-2,3180-2,Lupine,PSF Soil,Rhizosphere
3181,3181,Lupine,Common Soil,Rhizosphere
3182,3182,Lupine,Common Soil,Rhizosphere
3183,3183,Lupine,Common Soil,Rhizosphere
3185,3185,Lupine,Common Soil,Rhizosphere
3190,3190,T. repens,PSF Soil,Rhizosphere
3191,3191,T. repens,PSF Soil,Rhizosphere
3193,3193,T. repens,PSF Soil,Rhizosphere
3200,3200,T. repens,PSF Soil,Rhizosphere
3224,3224,T. repens,Common Soil,Rhizosphere
3225,3225,T. repens,Common Soil,Rhizosphere
3226,3226,T. repens,Common Soil,Rhizosphere
3227,3227,T. repens,Common Soil,Rhizosphere
